<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	08:55:34.993		14.060			4
2026.06.30	08:56:08.461		14.055			4
2026.06.30	08:56:11.657		14.060			4
2026.06.30	08:56:15.927	14.015				2
2026.06.30	08:56:28.597	14.030				2
2026.06.30	08:57:03.000	14.030				2
2026.06.30	08:57:33.269		14.060			4
2026.06.30	08:59:03.774	14.030	14.060			6
2026.06.30	08:59:09.317		14.055			4
2026.06.30	08:59:57.300	14.035				2
2026.06.30	09:00:00.351	14.035				2
2026.06.30	09:00:10.183		14.055			4
2026.06.30	09:00:38.724	14.040				2
2026.06.30	09:00:41.000	14.035				2
2026.06.30	09:00:51.314		14.050			4
2026.06.30	09:00:53.384		14.055			4
2026.06.30	09:00:58.830	14.040				2
2026.06.30	09:01:00.024	14.040				2
2026.06.30	09:01:00.829		14.050			4
2026.06.30	09:01:03.164		14.045			4
2026.06.30	09:01:33.820			14.040	140.00000000	88
2026.06.30	09:01:33.820	14.040	14.045			6
2026.06.30	09:01:37.436			14.045	1.00000000	56
2026.06.30	09:01:47.729	14.035				2
2026.06.30	09:01:48.397	14.040				2
2026.06.30	09:02:01.869	14.040				2
2026.06.30	09:02:07.313			14.040	29.00000000	88
2026.06.30	09:02:07.367	14.035				2
2026.06.30	09:02:07.369		14.040			4
2026.06.30	09:02:12.263			14.040	24.00000000	56
2026.06.30	09:02:12.275	14.040				2
2026.06.30	09:02:12.298		14.045			4
2026.06.30	09:02:47.923			14.040	1.00000000	88
2026.06.30	09:02:51.791	14.035				2
2026.06.30	09:03:01.005	14.035				2
2026.06.30	09:03:09.710	14.040				2
2026.06.30	09:03:12.369		14.045			4
2026.06.30	09:03:13.163			14.040	19.00000000	88
2026.06.30	09:03:13.715			14.040	2.00000000	88
2026.06.30	09:03:13.879	14.035				2
2026.06.30	09:03:13.879		14.040			4
2026.06.30	09:03:14.210			14.040	5.00000000	56
2026.06.30	09:03:14.211		14.045			4
2026.06.30	09:03:16.000		14.040			4
2026.06.30	09:03:45.425			14.035	19.00000000	88
2026.06.30	09:03:45.442			14.035	8.00000000	88
2026.06.30	09:03:45.445			14.035	11.00000000	88
2026.06.30	09:03:45.451			14.035	5.00000000	88
2026.06.30	09:03:45.453			14.035	20.00000000	88
2026.06.30	09:03:50.784			14.035	26.00000000	88
2026.06.30	09:03:50.812			14.040	35.00000000	56
2026.06.30	09:03:50.815			14.035	5.00000000	88
2026.06.30	09:03:50.823			14.035	20.00000000	88
2026.06.30	09:03:56.798			14.040	11.00000000	56
2026.06.30	09:03:56.952			14.040	2.00000000	56
2026.06.30	09:03:56.952		14.045			4
2026.06.30	09:04:04.546	14.035				2
2026.06.30	09:04:07.256	14.040				2
2026.06.30	09:04:19.049			14.040	10.00000000	88
2026.06.30	09:04:19.053			14.040	8.00000000	88
2026.06.30	09:04:19.059			14.040	6.00000000	88
2026.06.30	09:04:19.059	14.035				2
2026.06.30	09:04:19.329		14.040			4
2026.06.30	09:04:26.659			14.040	155.00000000	56
2026.06.30	09:04:26.661			14.040	137.00000000	56
2026.06.30	09:04:26.665			14.040	9.00000000	56
2026.06.30	09:04:26.694		14.045			4
2026.06.30	09:04:46.521		14.040			4
2026.06.30	09:04:47.007			14.040	1.00000000	56
2026.06.30	09:04:52.290			14.040	3.00000000	56
2026.06.30	09:04:52.591		14.045			4
2026.06.30	09:05:00.090	14.040				2
2026.06.30	09:05:10.582			14.040	1.00000000	88
2026.06.30	09:05:15.627			14.040	3.00000000	88
2026.06.30	09:05:15.629	14.035				2
2026.06.30	09:05:15.639		14.040			4
2026.06.30	09:05:19.995			14.035	10.00000000	88
2026.06.30	09:05:30.718			14.035	1.00000000	88
2026.06.30	09:05:30.718			14.035	19.00000000	88
2026.06.30	09:05:30.779			14.035	11.00000000	88
2026.06.30	09:05:34.903			14.035	15.00000000	88
2026.06.30	09:06:03.410	14.035				2
2026.06.30	09:06:15.645		14.040			4
2026.06.30	09:07:00.416	14.035				2
2026.06.30	09:07:07.835			14.040	69.00000000	56
2026.06.30	09:07:07.839			14.040	68.00000000	56
2026.06.30	09:07:07.844			14.040	69.00000000	56
2026.06.30	09:07:07.850			14.040	55.00000000	56
2026.06.30	09:07:07.851			14.040	13.00000000	56
2026.06.30	09:07:07.856			14.040	192.00000000	56
2026.06.30	09:07:07.862			14.040	41.00000000	56
2026.06.30	09:07:07.866			14.040	100.00000000	56
2026.06.30	09:07:07.871			14.040	66.00000000	56
2026.06.30	09:07:07.871			14.040	30.00000000	56
2026.06.30	09:07:07.875			14.040	66.00000000	56
2026.06.30	09:07:07.877			14.040	30.00000000	56
2026.06.30	09:07:07.880			14.040	57.00000000	56
2026.06.30	09:07:07.880			14.040	9.00000000	56
2026.06.30	09:07:07.884			14.040	49.00000000	56
2026.06.30	09:07:07.889			14.040	70.00000000	56
2026.06.30	09:07:07.889			14.040	60.00000000	56
2026.06.30	09:07:07.893			14.040	69.00000000	56
2026.06.30	09:07:07.898			14.040	84.00000000	56
