<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	10:06:17.224			37.88	100.00000000	56
2026.06.30	10:06:18.291			37.85	1500.00000000	88
2026.06.30	10:06:18.293			37.85	3500.00000000	88
2026.06.30	10:06:18.317			37.84	1200.00000000	88
2026.06.30	10:06:18.338			37.84	100.00000000	88
2026.06.30	10:06:18.539	37.83				2
2026.06.30	10:06:18.539		37.86			4
2026.06.30	10:06:18.939			37.83	700.00000000	88
2026.06.30	10:06:18.950			37.82	100.00000000	88
2026.06.30	10:06:18.986			37.84	100.00000000	120
2026.06.30	10:06:19.186			37.85	300.00000000	120
2026.06.30	10:06:19.777			37.84	400.00000000	120
2026.06.30	10:06:19.801			37.83	100.00000000	88
2026.06.30	10:06:20.444			37.86	1000.00000000	56
2026.06.30	10:06:20.446			37.83	8700.00000000	88
2026.06.30	10:06:20.478			37.82	1700.00000000	88
2026.06.30	10:06:20.661		37.85			4
2026.06.30	10:06:21.695			37.83	1000.00000000	88
2026.06.30	10:06:21.699			37.82	2200.00000000	88
2026.06.30	10:06:21.712	37.81				2
2026.06.30	10:06:21.712		37.84			4
2026.06.30	10:06:21.718			37.81	900.00000000	88
2026.06.30	10:06:22.248			37.82	1600.00000000	120
2026.06.30	10:06:22.248			37.81	1400.00000000	88
2026.06.30	10:06:22.250			37.81	3700.00000000	88
2026.06.30	10:06:22.259			37.81	800.00000000	88
2026.06.30	10:06:22.259			37.80	100.00000000	88
2026.06.30	10:06:22.259			37.81	100.00000000	88
2026.06.30	10:06:22.346			37.80	200.00000000	88
2026.06.30	10:06:22.347			37.80	100.00000000	88
2026.06.30	10:06:22.352	37.80				2
2026.06.30	10:06:22.360		37.83			4
2026.06.30	10:06:23.526			37.81	300.00000000	120
2026.06.30	10:06:23.526			37.80	3200.00000000	88
2026.06.30	10:06:23.526			37.80	7500.00000000	88
2026.06.30	10:06:23.554			37.80	800.00000000	88
2026.06.30	10:06:23.554			37.79	1100.00000000	88
2026.06.30	10:06:23.556			37.82	2000.00000000	120
2026.06.30	10:06:23.564			37.82	1700.00000000	120
2026.06.30	10:06:23.569			37.81	300.00000000	120
2026.06.30	10:06:23.679			37.82	200.00000000	120
2026.06.30	10:06:23.728			37.83	2300.00000000	56
2026.06.30	10:06:23.728			37.84	7700.00000000	56
2026.06.30	10:06:23.746			37.82	900.00000000	120
2026.06.30	10:06:23.746	37.82				2
2026.06.30	10:06:23.748		37.84			4
2026.06.30	10:06:23.857			37.82	100.00000000	88
2026.06.30	10:06:24.433			37.83	100.00000000	120
2026.06.30	10:06:26.839			37.84	200.00000000	56
2026.06.30	10:06:26.840			37.81	4600.00000000	88
2026.06.30	10:06:26.853			37.81	900.00000000	88
2026.06.30	10:06:26.941	37.81				2
2026.06.30	10:06:26.963			37.82	500.00000000	120
2026.06.30	10:06:27.751			37.83	100.00000000	120
2026.06.30	10:06:29.091			37.84	100.00000000	56
2026.06.30	10:06:29.092			37.81	500.00000000	88
