<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.06.30	12:00:00.030			174110	42.00000000	56
2026.06.30	12:00:00.032			174115	57.00000000	56
2026.06.30	12:00:00.032			174115	23.00000000	56
2026.06.30	12:00:00.040			174115	1.00000000	56
2026.06.30	12:00:00.049			174120	1.00000000	56
2026.06.30	12:00:00.058			174115	1.00000000	56
2026.06.30	12:00:00.060			174120	1.00000000	56
2026.06.30	12:00:00.062			174115	1.00000000	56
2026.06.30	12:00:00.072			174115	4.00000000	56
2026.06.30	12:00:00.074			174120	1.00000000	56
2026.06.30	12:00:00.076			174120	2.00000000	56
2026.06.30	12:00:00.082			174115	1.00000000	56
2026.06.30	12:00:00.083			174120	2.00000000	56
2026.06.30	12:00:00.084			174120	1.00000000	56
2026.06.30	12:00:00.089			174115	1.00000000	56
2026.06.30	12:00:00.090			174115	1.00000000	56
2026.06.30	12:00:00.092			174120	1.00000000	56
2026.06.30	12:00:00.096			174120	2.00000000	56
2026.06.30	12:00:00.098			174120	1.00000000	56
2026.06.30	12:00:00.101			174120	10.00000000	56
2026.06.30	12:00:00.102			174115	55.00000000	56
2026.06.30	12:00:00.110			174115	1.00000000	56
2026.06.30	12:00:00.112			174115	6.00000000	56
2026.06.30	12:00:00.117			174115	1.00000000	56
2026.06.30	12:00:00.123			174120	2.00000000	56
2026.06.30	12:00:00.124			174120	2.00000000	56
2026.06.30	12:00:00.125			174115	1.00000000	56
2026.06.30	12:00:00.126			174120	3.00000000	56
2026.06.30	12:00:00.133			174115	1.00000000	56
2026.06.30	12:00:00.135			174120	2.00000000	56
2026.06.30	12:00:00.135			174120	18.00000000	56
2026.06.30	12:00:00.159			174115	2.00000000	56
2026.06.30	12:00:00.163			174115	1.00000000	56
2026.06.30	12:00:00.165			174120	1.00000000	56
2026.06.30	12:00:00.167			174120	1.00000000	56
2026.06.30	12:00:00.168			174115	3.00000000	56
2026.06.30	12:00:00.169			174120	1.00000000	56
2026.06.30	12:00:00.172			174120	3.00000000	56
2026.06.30	12:00:00.174			174115	9.00000000	56
2026.06.30	12:00:00.175			174115	12.00000000	56
2026.06.30	12:00:00.199			174115	3.00000000	56
2026.06.30	12:00:00.203			174115	29.00000000	56
2026.06.30	12:00:00.204			174110	4.00000000	56
2026.06.30	12:00:00.205			174115	2.00000000	56
2026.06.30	12:00:00.205			174110	1.00000000	56
2026.06.30	12:00:00.212			174115	6.00000000	56
2026.06.30	12:00:00.218			174115	20.00000000	56
2026.06.30	12:00:00.226			174110	1.00000000	56
2026.06.30	12:00:00.231			174115	20.00000000	56
2026.06.30	12:00:00.233			174110	2.00000000	56
2026.06.30	12:00:00.237			174115	1.00000000	56
2026.06.30	12:00:00.237			174110	1.00000000	56
2026.06.30	12:00:00.243			174115	1.00000000	56
2026.06.30	12:00:00.245			174115	18.00000000	56
2026.06.30	12:00:00.245			174115	2.00000000	56
2026.06.30	12:00:00.273			174115	10.00000000	56
2026.06.30	12:00:00.302			174115	1.00000000	56
2026.06.30	12:00:00.305			174110	1.00000000	56
2026.06.30	12:00:00.347	174110				2
2026.06.30	12:00:00.347		174115			4
2026.06.30	12:00:00.352			174115	23.00000000	56
2026.06.30	12:00:00.353			174115	37.00000000	56
2026.06.30	12:00:00.355			174110	1.00000000	88
2026.06.30	12:00:00.388			174110	3.00000000	88
2026.06.30	12:00:00.388			174115	1.00000000	56
2026.06.30	12:00:00.389			174110	4.00000000	88
2026.06.30	12:00:00.398			174110	47.00000000	88
2026.06.30	12:00:00.453			174110	1.00000000	88
2026.06.30	12:00:00.458			174105	7.00000000	88
2026.06.30	12:00:00.485			174105	1.00000000	88
2026.06.30	12:00:00.513			174105	33.00000000	88
2026.06.30	12:00:00.515			174105	1.00000000	88
2026.06.30	12:00:00.520			174105	21.00000000	88
2026.06.30	12:00:00.520			174105	1.00000000	88
2026.06.30	12:00:00.527			174105	2.00000000	88
2026.06.30	12:00:00.536			174110	1.00000000	88
2026.06.30	12:00:00.540			174110	1.00000000	88
2026.06.30	12:00:00.549			174105	1.00000000	88
2026.06.30	12:00:00.552			174110	1.00000000	88
2026.06.30	12:00:00.593			174105	2.00000000	88
2026.06.30	12:00:00.615			174110	1.00000000	88
2026.06.30	12:00:00.630			174110	1.00000000	88
2026.06.30	12:00:00.662			174110	4.00000000	88
2026.06.30	12:00:00.675			174105	1.00000000	88
2026.06.30	12:00:00.679			174110	1.00000000	88
2026.06.30	12:00:00.680			174110	1.00000000	88
2026.06.30	12:00:00.686			174105	1.00000000	88
2026.06.30	12:00:00.688			174110	1.00000000	88
2026.06.30	12:00:00.696	174105				2
2026.06.30	12:00:00.696		174110			4
2026.06.30	12:00:00.706			174105	3.00000000	88
2026.06.30	12:00:00.724			174110	5.00000000	56
2026.06.30	12:00:00.734			174110	2.00000000	56
2026.06.30	12:00:00.739			174105	1.00000000	88
2026.06.30	12:00:00.752			174110	1.00000000	56
2026.06.30	12:00:00.754			174110	2.00000000	56
2026.06.30	12:00:00.757			174105	6.00000000	88
2026.06.30	12:00:00.763			174105	1.00000000	88
2026.06.30	12:00:00.784			174110	1.00000000	56
2026.06.30	12:00:00.784			174105	1.00000000	88
2026.06.30	12:00:00.833			174110	3.00000000	56
2026.06.30	12:00:00.856			174105	2.00000000	88
2026.06.30	12:00:00.871			174110	1.00000000	56
2026.06.30	12:00:00.881			174110	8.00000000	56
2026.06.30	12:00:00.904			174105	2.00000000	88
2026.06.30	12:00:00.922			174105	1.00000000	88
2026.06.30	12:00:00.929			174105	1.00000000	88
2026.06.30	12:00:00.934			174110	1.00000000	56
2026.06.30	12:00:00.945			174110	1.00000000	56
2026.06.30	12:00:00.947			174110	6.00000000	56
2026.06.30	12:00:00.954			174115	1.00000000	56
2026.06.30	12:00:00.976			174115	2.00000000	56
2026.06.30	12:00:01.000			174110	70.00000000	56
2026.06.30	12:00:01.000			174115	20.00000000	56
2026.06.30	12:00:01.016			174115	1.00000000	56
2026.06.30	12:00:01.023			174115	1.00000000	56
2026.06.30	12:00:01.025			174110	1.00000000	56
2026.06.30	12:00:01.028			174115	9.00000000	56
2026.06.30	12:00:01.030			174115	7.00000000	56
2026.06.30	12:00:01.039			174120	7.00000000	56
2026.06.30	12:00:01.039	174115				2
2026.06.30	12:00:01.042		174120			4
2026.06.30	12:00:01.071			174115	1.00000000	88
2026.06.30	12:00:01.090			174115	5.00000000	88
2026.06.30	12:00:01.093			174115	1.00000000	88
2026.06.30	12:00:01.096			174120	11.00000000	56
2026.06.30	12:00:01.142			174125	3.00000000	56
2026.06.30	12:00:01.146			174120	1.00000000	56
2026.06.30	12:00:01.162			174120	12.00000000	56
2026.06.30	12:00:01.173			174120	1.00000000	56
2026.06.30	12:00:01.186			174120	5.00000000	56
2026.06.30	12:00:01.193			174125	1.00000000	56
2026.06.30	12:00:01.209			174120	13.00000000	56
2026.06.30	12:00:01.219			174115	23.00000000	88
2026.06.30	12:00:01.220			174115	27.00000000	88
2026.06.30	12:00:01.254			174115	1.00000000	88
2026.06.30	12:00:01.281			174115	4.00000000	88
2026.06.30	12:00:01.292			174110	22.00000000	88
2026.06.30	12:00:01.297			174105	1.00000000	88
2026.06.30	12:00:01.302			174105	31.00000000	88
2026.06.30	12:00:01.303			174100	68.00000000	88
2026.06.30	12:00:01.303			174095	3.00000000	88
2026.06.30	12:00:01.303			174100	2.00000000	88
2026.06.30	12:00:01.303			174095	6.00000000	88
2026.06.30	12:00:01.304			174100	29.00000000	88
2026.06.30	12:00:01.304			174100	41.00000000	88
2026.06.30	12:00:01.305			174100	27.00000000	88
2026.06.30	12:00:01.315			174100	5.00000000	88
2026.06.30	12:00:01.324			174100	5.00000000	88
2026.06.30	12:00:01.347			174100	1.00000000	88
2026.06.30	12:00:01.352			174100	2.00000000	88
2026.06.30	12:00:01.353			174095	1.00000000	88
2026.06.30	12:00:01.357			174100	1.00000000	88
2026.06.30	12:00:01.386			174100	1.00000000	88
2026.06.30	12:00:01.391			174100	4.00000000	88
2026.06.30	12:00:01.391	174095				2
2026.06.30	12:00:01.392		174100			4
2026.06.30	12:00:01.405			174095	1.00000000	88
2026.06.30	12:00:01.428			174095	1.00000000	88
2026.06.30	12:00:01.457			174095	1.00000000	88
2026.06.30	12:00:01.486			174100	1.00000000	56
2026.06.30	12:00:01.509			174095	2.00000000	88
2026.06.30	12:00:01.636			174095	2.00000000	88
2026.06.30	12:00:01.673			174095	1.00000000	88
2026.06.30	12:00:01.702			174100	1.00000000	56
2026.06.30	12:00:01.719			174095	3.00000000	88
2026.06.30	12:00:01.732			174095	15.00000000	88
2026.06.30	12:00:01.773			174100	5.00000000	56
2026.06.30	12:00:01.782			174100	1.00000000	56
2026.06.30	12:00:01.868			174100	1.00000000	56
2026.06.30	12:00:01.875			174100	1.00000000	56
2026.06.30	12:00:01.954			174100	1.00000000	56
2026.06.30	12:00:01.963			174100	2.00000000	56
2026.06.30	12:00:01.978			174100	5.00000000	56
2026.06.30	12:00:01.979			174095	4.00000000	88
2026.06.30	12:00:01.980			174100	3.00000000	56
2026.06.30	12:00:02.001			174100	20.00000000	56
2026.06.30	12:00:02.001			174095	16.00000000	88
2026.06.30	12:00:02.002			174095	44.00000000	88
2026.06.30	12:00:02.004			174090	19.00000000	88
2026.06.30	12:00:02.004			174090	134.00000000	88
2026.06.30	12:00:02.004			174085	15.00000000	88
2026.06.30	12:00:02.004			174085	42.00000000	88
2026.06.30	12:00:02.005			174090	6.00000000	88
2026.06.30	12:00:02.005			174085	9.00000000	88
2026.06.30	12:00:02.005			174090	1.00000000	88
2026.06.30	12:00:02.005			174085	7.00000000	88
2026.06.30	12:00:02.005			174085	69.00000000	88
2026.06.30	12:00:02.006			174090	1.00000000	88
2026.06.30	12:00:02.007			174085	2.00000000	88
2026.06.30	12:00:02.007			174085	92.00000000	88
2026.06.30	12:00:02.007			174080	110.00000000	88
2026.06.30	12:00:02.007			174080	21.00000000	88
2026.06.30	12:00:02.008			174085	1.00000000	88
2026.06.30	12:00:02.008			174080	1.00000000	88
2026.06.30	12:00:02.008			174085	3.00000000	88
2026.06.30	12:00:02.008			174080	4.00000000	88
2026.06.30	12:00:02.008			174085	7.00000000	88
2026.06.30	12:00:02.008			174080	34.00000000	88
2026.06.30	12:00:02.008			174085	13.00000000	88
2026.06.30	12:00:02.008			174080	54.00000000	88
2026.06.30	12:00:02.008			174085	1.00000000	88
2026.06.30	12:00:02.008			174080	2.00000000	88
2026.06.30	12:00:02.008			174085	4.00000000	88
2026.06.30	12:00:02.008			174080	17.00000000	88
2026.06.30	12:00:02.008			174085	71.00000000	88
2026.06.30	12:00:02.008			174080	12.00000000	88
2026.06.30	12:00:02.008			174080	20.00000000	88
2026.06.30	12:00:02.008			174085	1.00000000	88
2026.06.30	12:00:02.010			174080	126.00000000	88
2026.06.30	12:00:02.010			174080	140.00000000	88
2026.06.30	12:00:02.010			174085	53.00000000	88
2026.06.30	12:00:02.012			174080	24.00000000	88
2026.06.30	12:00:02.013			174080	82.00000000	88
2026.06.30	12:00:02.014			174080	56.00000000	88
2026.06.30	12:00:02.017			174075	66.00000000	88
2026.06.30	12:00:02.019			174075	117.00000000	88
2026.06.30	12:00:02.019			174075	77.00000000	88
2026.06.30	12:00:02.019			174075	54.00000000	88
2026.06.30	12:00:02.019			174070	1.00000000	88
2026.06.30	12:00:02.019			174075	19.00000000	88
2026.06.30	12:00:02.019			174070	5.00000000	88
2026.06.30	12:00:02.019			174075	2.00000000	88
2026.06.30	12:00:02.019			174070	76.00000000	88
2026.06.30	12:00:02.020			174070	46.00000000	88
2026.06.30	12:00:02.020			174075	1.00000000	88
2026.06.30	12:00:02.020			174070	17.00000000	88
2026.06.30	12:00:02.020			174075	1.00000000	88
2026.06.30	12:00:02.020			174070	61.00000000	88
2026.06.30	12:00:02.020			174075	2.00000000	88
2026.06.30	12:00:02.020			174070	2.00000000	88
2026.06.30	12:00:02.020			174070	28.00000000	88
2026.06.30	12:00:02.020			174075	32.00000000	88
2026.06.30	12:00:02.020			174070	30.00000000	88
2026.06.30	12:00:02.020			174075	10.00000000	88
2026.06.30	12:00:02.025			174075	1.00000000	88
2026.06.30	12:00:02.025			174070	6.00000000	88
2026.06.30	12:00:02.031			174070	115.00000000	88
2026.06.30	12:00:02.031			174070	91.00000000	88
2026.06.30	12:00:02.031			174070	1.00000000	88
2026.06.30	12:00:02.033			174065	5.00000000	88
2026.06.30	12:00:02.033			174065	66.00000000	88
2026.06.30	12:00:02.033			174065	50.00000000	88
2026.06.30	12:00:02.034			174065	50.00000000	88
2026.06.30	12:00:02.035			174065	43.00000000	88
2026.06.30	12:00:02.035			174065	123.00000000	88
2026.06.30	12:00:02.037			174060	14.00000000	88
2026.06.30	12:00:02.038			174060	58.00000000	88
2026.06.30	12:00:02.038			174060	60.00000000	88
2026.06.30	12:00:02.039			174060	47.00000000	88
2026.06.30	12:00:02.040			174060	36.00000000	88
2026.06.30	12:00:02.040			174055	20.00000000	88
2026.06.30	12:00:02.041			174060	14.00000000	88
2026.06.30	12:00:02.041			174055	7.00000000	88
2026.06.30	12:00:02.041			174060	5.00000000	88
2026.06.30	12:00:02.041			174055	2.00000000	88
2026.06.30	12:00:02.041			174060	7.00000000	88
2026.06.30	12:00:02.041			174055	29.00000000	88
2026.06.30	12:00:02.041			174055	102.00000000	88
